id,name,absolute_magnitude_h,estimated_diameter_km,relative_velocity_kms,miss_distance_ld,orbiting_body,is_potentially_hazardous_asteroid
2001620,1620 Geographos (1951 RA),15.27,5.2485577338,11.7628115427,13.1867962688,Earth,True
2001863,1863 Antinous (1948 EA),15.46,4.8088361393,18.0795126569,34.7886678692,Mars,False
2001915,1915 Quetzalcoatl (1953 EA),18.38,1.2532565376,15.120986141,9.8542651279,Earth,False
2001917,1917 Cuyo (1968 AA),14.38,7.907514169,15.2344898243,43.8729657693,Earth,False
2002063,2063 Bacchus (1977 HB),17.21,2.1480282008,10.3891121599,25.8987062001,Venus,False
2002100,2100 Ra-Shalom (1978 RA),16.25,3.3422580561,17.9951279067,31.8126578346,Merc,False
2002102,2102 Tantalus (1975 YA),16.0,3.750075218,33.9011179621,28.5509495897,Earth,True
2002201,2201 Oljato (1947 XC),15.32,5.1290859738,25.3456267744,67.205314256,Earth,True
2002340,2340 Hathor (1976 UA),20.43,0.4875733714,17.4915658691,30.9727613216,Merc,True
2000719,719 Albert (A911 TB),15.59,4.529392731,3.446029003,664.7131734861,Juptr,False
2000887,887 Alinda (A918 AA),13.81,10.2811093604,7.095973685,53.2069312604,Earth,False
2001627,1627 Ivar (1929 SH),12.79,16.4452310205,6.5498704866,64.7770951884,Earth,False
2001916,1916 Boreas (1953 RA),14.92,6.1665176484,0.0,0.0,Earth,False
2001943,1943 Anteros (1973 EC),15.69,4.3255364773,7.2023034103,47.9274399096,Earth,False
2002101,2101 Adonis (1936 CA),18.69,1.0865256386,19.3298299696,73.1750339808,Earth,True
